Symbol,Name,Latest,Change,%Change,High,Low,Volume,"Imp Vol","1M IV","3M IV",IV/HV,"5D/1M IV%","IV Rank","1M IV Rank ","IV Pctl","1M IV Pctl","Options Vol","5D Total Vol","Total OI","Call Open Int","Put Open Int","P/C OI","Exp Move"
^BTCUSD,"Bitcoin - USD",59644.95,40.969999999994,+0.07%,60476.39,58872.29,19404,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^ETHUSD,"Ethereum - USD",1570.09,1.8299999999999,+0.12%,1587.09,1545.14,112264,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^XRPUSD,"XRP - USD",1.0404,-0.0026,-0.25%,1.0579,1.032,93344948,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
^SOLUSD,"Solana - USD",71.34,-0.72,-1.00%,73.2,69.71,1337358,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
IBIT,"Ishares Bitcoin Trust ETF",33.85,0.33,+0.98%,34.26,33.25,59375699,45.02%,41.89%,42.20%,1.0922877244056,102.42%,23.91%,53.01%,64%,73%,717514,741065,6377650,3477012,2900638,0.83423295634297,0.7905
GBTC,"Grayscale Bitcoin Trust ETF",46.28,0.38,+0.83%,46.92,45.565,1883600,45.96%,42.26%,42.37%,1.1275711481845,103.73%,28.62%,58.38%,65%,64%,1499,2024,48429,38857,9572,0.24633914095272,0.9945
SOFR,"Amplify Samsung SOFR ETF",100.395,-0.135,-0.13%,100.41,100.395,10200,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$HSI,"Hang Seng Index",22671.86,-405.05,-1.76%,23076.91,22518,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VHSI,"Hang Seng Volatility Index",25.82,1.27,+5.17%,26.88,23.97,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
$VXHY,"High Yield Corporate Bond VIX",5.48,-0.14,-2.49%,6.28,5.24,0,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
CBON,"Vaneck Chinaamc China Bond ETF",23.84,0.024999999999999,+0.10%,23.85,23.84,300,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
KHYB,"KS Ccbs China Corp High Yield Bond USD ETF",24.1899,0.0019000000000027,+0.01%,24.2,24.1899,800,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
ASHR,"Xt Harvest CSI 300 China A-Shares ETF",35.87,-0.82,-2.23%,35.995,35.675,5060400,26.57%,20.30%,20.42%,1.0870008183306,116.06%,17.92%,100.00%,96%,95%,19948,32125,546843,271525,275318,1.0139692477672,0.8075
DXY00,"U.S. Dollar Index",101.343,-0.014,-0.01%,101.394,101.296,N/A,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
DXM26,"U.S. Dollar Index",99.474,-0.271,-0.27%,99.6,99.445,411,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
E6M26,"Euro FX",1.16145,0.0039500000000001,+0.34%,1.16205,1.1595,12049,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
J6M26,"Japanese Yen",0.0062475,0.000006,+0.10%,0.00626,0.0062415,3315,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
A6M26,"Australian Dollar",0.70745,0.0027,+0.38%,0.7089,0.7066,1100,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCY00,Gold,4043.59,-28.36,-0.70%,4085.27,4042.29,61848,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCN26,Gold,4053.6,-25.9,-0.63%,4070,4053.6,114,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCQ26,Gold,4057.3,-39.,-0.95%,4102.9,4054.1,22539,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCU26,Gold,4075.4,-35.5,-0.86%,4108.3,4075.4,41,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCV26,Gold,4085.3,-40.,-0.97%,4119.7,4085.3,121,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCX26,Gold,4122.2,-19.4,-0.47%,4122.2,4122.2,1,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCZ26,Gold,4117.3,-39.6,-0.95%,4160.1,4115.7,613,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
GCF27,Gold,4174.7,49.7,+1.20%,4174.7,4174.7,16,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTN26,"Bitcoin Futures",59750,-245.,-0.41%,60895,58945,3025,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTQ26,"Bitcoin Futures",60450,210,+0.35%,61105,59500,79,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTU26,"Bitcoin Futures",60420,-25.,-0.04%,60590,59945,4,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
BTV26,"Bitcoin Futures",60675,570,+0.95%,61455,59235,7,0.00%,0.00%,0.00%,0,0.00%,N/A,N/A,0%,0%,N/A,N/A,N/A,N/A,N/A,N/A,0
